"taxon_name","leaf_length","plant_height","leaf_width","leaf_area","plant_growth_form","woodiness_detailed","leaf_shape","life_history","fam","LxW","residuals","logLxW","log_area","log_length","log_width","log_height"
"Cryptocarya hypospodia",155,30,80,16161.3165333333,"tree","woody","elliptical ovate","perennial","Lauraceae",12400,0.830819231026663,9.42545175159313,9.69037579740356,5.04342511691925,4.38202663467388,3.40119738166216
"Cryptocarya laevigata",93.75,7,30.3,4131,"shrub tree","woody","elliptical lanceolate","perennial","Lauraceae",2840.625,0.737558025755835,7.95177937736584,8.32627478739676,4.54063166485052,3.41114771251532,1.94591014905531
"Cryptocarya leucophylla",100.5,25,40,4620,"tree","woody","elliptical obovate ovate","perennial","Lauraceae",4020,0.55074346671689,8.29903718161307,8.43814998407578,4.61015772749913,3.68887945411394,3.2188758248682
"Cryptocarya macdonaldii",110,30,40,2598.31624,"tree","woody","elliptical oblong ovate","perennial","Lauraceae",4400,-0.100249173827757,8.38935981990635,7.86261891422612,4.70048036579242,3.68887945411394,3.40119738166216
"Cryptocarya mackinnoniana",240,25.6,65,9244.780625,"tree","woody","elliptical narrowly_elliptical oblong","perennial","Lauraceae",15600,0.0771232607191915,9.65502619323763,9.13181441449696,5.48063892334199,4.17438726989564,3.24259235148552
"Cryptocarya melanocarpa",100,20,37.5,3920,"tree","woody","elliptical lanceolate oblong","perennial","Lauraceae",3750,0.446765442790205,8.22951111896446,8.27384693278451,4.60517018598809,3.62434093297637,2.99573227355399
"Cryptocarya microneura",89.4,20,31.3727272727273,2190.1,"tree","woody","elliptical lanceolate","perennial","Lauraceae",2804.72181818182,0.116250101791001,7.93905963948506,7.69170248386852,4.49312068217947,3.44593895730559,2.99573227355399
"Cryptocarya murrayi",188,29.6,75,9594.63882352941,"tree","woody","elliptical oblong","perennial","Lauraceae",14100,0.200968320212348,9.55393007636626,9.16895976557901,5.23644196282995,4.31748811353631,3.38777436133001
"Cryptocarya nova-anglica",57.2,20,25.125,1069.8,"tree","woody","elliptical lanceolate ovate","perennial","Lauraceae",1437.15,-0.0232537531312847,7.27041726476499,6.97522699409715,4.04655389838575,3.22386336637924,2.99573227355399
"Cryptocarya oblata",107.5,35.4,46.4,2467.185,"tree","woody","elliptical lanceolate","perennial","Lauraceae",4988,-0.259582765904118,8.51479030679993,7.81083310358399,4.67749084756772,3.83729945923221,3.56671182013973
"Cryptocarya obovata",80,36.3888333333333,30,7396.3299,"tree","woody","oblong obovate","perennial","Lauraceae",2400,1.46265652707643,7.78322401633604,8.90873919670423,4.38202663467388,3.40119738166216,3.59426195102036
"Cryptocarya onoprienkoana",117.5,35,47.5,2340,"tree","woody","elliptical lanceolate","perennial","Lauraceae",5581.25,-0.408841565337107,8.62716804462481,7.75790620835175,4.76643833358421,3.8607297110406,3.55534806148941
"Cryptocarya pleurosperma",106.8,30,52.5,4100.455,"tree","woody","elliptical oblong","perennial","Lauraceae",5607,0.146084254388347,8.63177109612367,8.31885322214482,4.67095792652609,3.96081316959758,3.40119738166216
"Cryptocarya putida",135,25,50,2240,"tree","woody","elliptical narrowly_obovate oblong","perennial","Lauraceae",6750,-0.615667789568723,8.81729778386658,7.71423114484909,4.90527477843843,3.91202300542815,3.2188758248682
"Cryptocarya rigida",93,11,31.5555555555556,3605.20666666667,"tree","woody","elliptical lanceolate","perennial","Lauraceae",2934.66666666667,0.573943524754386,7.98434915397824,8.19013437586136,4.53259949315326,3.45174966082499,2.39789527279837
"Cryptocarya sclerophylla",82,11.6666666666667,30,2069.777,"shrub tree","woody","elliptical","perennial","Lauraceae",2460,0.172597444332469,7.80791662892641,7.63519615098758,4.40671924726425,3.40119738166216,2.4567357728213
"Cryptocarya smaragdina",67.5,25,20,1540,"tree","woody","lanceolate","perennial","Lauraceae",1350,0.393447997575319,7.20785987143248,7.33953769540767,4.21212759787848,2.99573227355399,3.2188758248682
"Cryptocarya triplinervis",82.5,20,31.25,1839.76236363636,"tree","woody","elliptical lanceolate ovate","perennial","Lauraceae",2578.125,0.0149414645092635,7.85481766952305,7.5173916920648,4.41279829334063,3.44201937618241,2.99573227355399
"Cryptocarya triplinervis var. riparia",87,20,31.8333333333333,4050,"tree","woody","lanceolate","perennial","Lauraceae",2769.5,0.739609059834781,7.92642207747316,8.30647216010058,4.46590811865458,3.46051395881857,2.99573227355399
"Cryptocarya vulgaris",102.5,26.4,42.5,3231,"tree","woody","elliptical lanceolate oblong","perennial","Lauraceae",4356.25,0.125459143297101,8.37936687450883,8.0805469658245,4.62986279857846,3.74950407593037,3.27336401015227
"Cryptostylis subulata",129.166666666667,0.557142857142857,20.3454545454545,2101.89666666667,"herb","herbaceous","lanceolate","perennial","Orchidaceae",2627.95454545455,0.131210980115135,7.87396108320475,7.65059539069792,4.86110356012529,3.01285752307945,-0.584933595919713
